,Total # of actions,# of actions w/o dead ends,# of corridor actions,# of node actions,corridor actions,node actions,consecutive turns,% of each corridor action,% of each node action,% of consecutive turn intervals,total # of unique nodes visisted,# of visits for each visited node,water_reached,total # of unique nodes visisted before water,# of visits for each visited node before water
0,985,785,227,758,"{'straight': 136, 'turn around': 91}","{'left turn': 89, 'right turn': 81, 'straight through node': 163, 'node turn around': 425}","{0: 64, 1: 6, 2: 1}","{'straight': 59.91, 'turn around': 40.09}","{'left turn': 11.74, 'right turn': 10.69, 'straight through node': 21.5, 'node turn around': 56.07}","{0: 90.14, 1: 8.45, 2: 1.41}",111,"0       7.0
1       9.0
2       7.0
3       7.0
4      12.0
       ... 
122     0.0
123     0.0
124     0.0
125     0.0
126     0.0
Length: 127, dtype: float64",True,111,"0       7.0
1       9.0
2       7.0
3       7.0
4      12.0
       ... 
122     0.0
123     0.0
124     0.0
125     0.0
126     0.0
Length: 127, dtype: float64"
1,1735,1384,381,1354,"{'straight': 298, 'turn around': 83}","{'left turn': 209, 'right turn': 236, 'straight through node': 274, 'node turn around': 635}","{0: 176, 1: 22, 2: 5, 3: 0, 4: 1}","{'straight': 78.22, 'turn around': 21.78}","{'left turn': 15.44, 'right turn': 17.43, 'straight through node': 20.24, 'node turn around': 46.9}","{0: 86.27, 1: 10.78, 2: 2.45, 3: 0.0, 4: 0.49}",125,"0       3.0
1      16.0
2       4.0
3      20.0
4      18.0
       ... 
122     2.0
123     2.0
124     2.0
125     2.0
126     2.0
Length: 127, dtype: float64",True,125,"0       3.0
1      16.0
2       4.0
3      20.0
4      18.0
       ... 
122     2.0
123     2.0
124     2.0
125     2.0
126     2.0
Length: 127, dtype: float64"
2,1199,956,261,938,"{'straight': 206, 'turn around': 55}","{'left turn': 173, 'right turn': 151, 'straight through node': 172, 'node turn around': 442}","{0: 141, 1: 16, 2: 4, 3: 0, 4: 1}","{'straight': 78.93, 'turn around': 21.07}","{'left turn': 18.44, 'right turn': 16.1, 'straight through node': 18.34, 'node turn around': 47.12}","{0: 87.04, 1: 9.88, 2: 2.47, 3: 0.0, 4: 0.62}",90,"0       3.0
1       9.0
2       1.0
3      18.0
4      13.0
       ... 
122     5.0
123     6.0
124     6.0
125     6.0
126     6.0
Length: 127, dtype: float64",True,90,"0       3.0
1       9.0
2       1.0
3      18.0
4      13.0
       ... 
122     5.0
123     6.0
124     6.0
125     6.0
126     6.0
Length: 127, dtype: float64"
3,1217,968,270,947,"{'straight': 194, 'turn around': 76}","{'left turn': 161, 'right turn': 165, 'straight through node': 171, 'node turn around': 450}","{0: 151, 1: 14, 2: 4}","{'straight': 71.85, 'turn around': 28.15}","{'left turn': 17.0, 'right turn': 17.42, 'straight through node': 18.06, 'node turn around': 47.52}","{0: 89.35, 1: 8.28, 2: 2.37}",115,"0       4.0
1       9.0
2       9.0
3      10.0
4      12.0
       ... 
122     3.0
123     4.0
124     3.0
125     5.0
126     4.0
Length: 127, dtype: float64",True,115,"0       4.0
1       9.0
2       9.0
3      10.0
4      12.0
       ... 
122     3.0
123     4.0
124     3.0
125     5.0
126     4.0
Length: 127, dtype: float64"
4,847,678,195,652,"{'straight': 138, 'turn around': 57}","{'left turn': 111, 'right turn': 114, 'straight through node': 110, 'node turn around': 317}","{0: 89, 1: 7, 2: 2}","{'straight': 70.77, 'turn around': 29.23}","{'left turn': 17.02, 'right turn': 17.48, 'straight through node': 16.87, 'node turn around': 48.62}","{0: 90.82, 1: 7.14, 2: 2.04}",91,"0       2.0
1      11.0
2       3.0
3      12.0
4       9.0
       ... 
122     4.0
123     3.0
124     3.0
125     2.0
126     2.0
Length: 127, dtype: float64",True,91,"0       2.0
1      11.0
2       3.0
3      12.0
4       9.0
       ... 
122     4.0
123     3.0
124     3.0
125     2.0
126     2.0
Length: 127, dtype: float64"
5,355,284,80,275,"{'straight': 52, 'turn around': 28}","{'left turn': 49, 'right turn': 49, 'straight through node': 53, 'node turn around': 124}","{0: 33, 1: 8, 2: 2, 3: 1}","{'straight': 65.0, 'turn around': 35.0}","{'left turn': 17.82, 'right turn': 17.82, 'straight through node': 19.27, 'node turn around': 45.09}","{0: 75.0, 1: 18.18, 2: 4.55, 3: 2.27}",37,"0      0.0
1      0.0
2      5.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,37,"0      0.0
1      0.0
2      5.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
6,285,229,72,213,"{'straight': 46, 'turn around': 26}","{'left turn': 32, 'right turn': 40, 'straight through node': 37, 'node turn around': 104}","{0: 31, 1: 4}","{'straight': 63.89, 'turn around': 36.11}","{'left turn': 15.02, 'right turn': 18.78, 'straight through node': 17.37, 'node turn around': 48.83}","{0: 88.57, 1: 11.43}",38,"0      3.0
1      0.0
2      4.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,38,"0      3.0
1      0.0
2      4.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
7,271,221,75,196,"{'straight': 40, 'turn around': 35}","{'left turn': 33, 'right turn': 34, 'straight through node': 30, 'node turn around': 99}","{0: 28, 1: 4}","{'straight': 53.33, 'turn around': 46.67}","{'left turn': 16.84, 'right turn': 17.35, 'straight through node': 15.31, 'node turn around': 50.51}","{0: 87.5, 1: 12.5}",38,"0      4.0
1      4.0
2      3.0
3      9.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,38,"0      4.0
1      4.0
2      3.0
3      9.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
8,827,665,192,635,"{'straight': 124, 'turn around': 68}","{'left turn': 104, 'right turn': 114, 'straight through node': 110, 'node turn around': 307}","{0: 87, 1: 10, 2: 2}","{'straight': 64.58, 'turn around': 35.42}","{'left turn': 16.38, 'right turn': 17.95, 'straight through node': 17.32, 'node turn around': 48.35}","{0: 87.88, 1: 10.1, 2: 2.02}",99,"0       4.0
1       7.0
2       5.0
3       6.0
4      12.0
       ... 
122     0.0
123     0.0
124     0.0
125     0.0
126     0.0
Length: 127, dtype: float64",True,99,"0       4.0
1       7.0
2       5.0
3       6.0
4      12.0
       ... 
122     0.0
123     0.0
124     0.0
125     0.0
126     0.0
Length: 127, dtype: float64"
9,545,443,136,409,"{'straight': 94, 'turn around': 42}","{'left turn': 76, 'right turn': 75, 'straight through node': 68, 'node turn around': 190}","{0: 52, 1: 9, 2: 3, 3: 1}","{'straight': 69.12, 'turn around': 30.88}","{'left turn': 18.58, 'right turn': 18.34, 'straight through node': 16.63, 'node turn around': 46.45}","{0: 80.0, 1: 13.85, 2: 4.62, 3: 1.54}",69,"0      4.0
1      6.0
2      3.0
3      9.0
4      9.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,69,"0      4.0
1      6.0
2      3.0
3      9.0
4      9.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
10,499,406,132,367,"{'straight': 84, 'turn around': 48}","{'left turn': 74, 'right turn': 59, 'straight through node': 58, 'node turn around': 176}","{0: 51, 1: 7, 2: 5}","{'straight': 63.64, 'turn around': 36.36}","{'left turn': 20.16, 'right turn': 16.08, 'straight through node': 15.8, 'node turn around': 47.96}","{0: 80.95, 1: 11.11, 2: 7.94}",69,"0       4.0
1       5.0
2       4.0
3      10.0
4       0.0
       ... 
122     0.0
123     0.0
124     0.0
125     0.0
126     0.0
Length: 127, dtype: float64",True,69,"0       4.0
1       5.0
2       4.0
3      10.0
4       0.0
       ... 
122     0.0
123     0.0
124     0.0
125     0.0
126     0.0
Length: 127, dtype: float64"
